datetime,preciptype,sunrise,sunset,conditions,description,icon,stations
2024-06-28,,2024-06-28T05:49:51,2024-06-28T21:58:07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-29,rain,2024-06-29T05:50:23,2024-06-29T21:57:56,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-30,rain,2024-06-30T05:50:58,2024-06-30T21:57:44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-01,rain,2024-07-01T05:51:35,2024-07-01T21:57:28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-02,rain,2024-07-02T05:52:14,2024-07-02T21:57:10,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-03,rain,2024-07-03T05:52:56,2024-07-03T21:56:48,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-04,rain,2024-07-04T05:53:39,2024-07-04T21:56:25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-05,,2024-07-05T05:54:25,2024-07-05T21:55:58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-06,rain,2024-07-06T05:55:12,2024-07-06T21:55:29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-07,rain,2024-07-07T05:56:02,2024-07-07T21:54:57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-08,rain,2024-07-08T05:56:54,2024-07-08T21:54:22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-09,rain,2024-07-09T05:57:47,2024-07-09T21:53:45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-10,rain,2024-07-10T05:58:42,2024-07-10T21:53:05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-11,rain,2024-07-11T05:59:39,2024-07-11T21:52:23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-12,rain,2024-07-12T06:00:38,2024-07-12T21:51:38,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-07-13,rain,2024-07-13T06:01:38,2024-07-13T21:50:50,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-07-14,rain,2024-07-14T06:02:40,2024-07-14T21:50:00,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-07-15,rain,2024-07-15T06:03:43,2024-07-15T21:49:08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07146099999,LFPV,07156099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-07-16,rain,2024-07-16T06:04:48,2024-07-16T21:48:13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
